Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type
Kuwae,Vanuatu,Caldera,Eruption Observed,1974 CE,Melanesia and Australia,Vanuatu,-16.829,168.536,-2,Basalt / Picro-Basalt
NE Shepherd Islands,Vanuatu,Stratovolcano(es),Evidence Uncertain,Unknown,Melanesia and Australia,Vanuatu,-16.992,168.592,216,Basalt / Picro-Basalt
North Vate,Vanuatu,Stratovolcano(es),Evidence Credible,Unknown,Melanesia and Australia,Vanuatu,-17.47,168.353,594,Basalt / Picro-Basalt
Traitor's Head,Vanuatu,Stratovolcano,Eruption Observed,1881 CE,Melanesia and Australia,Vanuatu,-18.754,169.238,817,Basalt / Picro-Basalt
Yasur,Vanuatu,Stratovolcano,Eruption Observed,2020 CE,Melanesia and Australia,Vanuatu,-19.532,169.447,361,Andesite / Basaltic Andesite
Aneityum,Vanuatu,Stratovolcano(es),Evidence Uncertain,Unknown,Melanesia and Australia,Vanuatu,-20.2,169.78,852,Basalt / Picro-Basalt
Eastern Gemini Seamount,France,Submarine,Eruption Observed,1996 CE,Melanesia and Australia,Pacific Ocean (southwestern),-20.98,170.28,-80,Basalt / Picro-Basalt
Matthew Island,France,Stratovolcano,Eruption Observed,1956 CE,Melanesia and Australia,Pacific Ocean (southwestern),-22.33,171.32,177,Andesite / Basaltic Andesite
Hunter Island,France,Stratovolcano,Eruption Observed,1903 CE,Melanesia and Australia,Pacific Ocean (southwestern),-22.4,172.05,297,Andesite / Basaltic Andesite
Newer Volcanics Province,Australia,Shield(s),Eruption Dated,2900 BCE,Melanesia and Australia,Australia,-37.77,142.5,1011,Trachybasalt / Tephrite Basanite
Narcondum,India,Stratovolcano,Evidence Credible,Unknown,Indonesia,Andaman Islands,13.43,94.28,710,Andesite / Basaltic Andesite
Barren Island,India,Stratovolcano,Eruption Observed,2020 CE,Indonesia,Andaman Islands,12.278,93.858,354,Basalt / Picro-Basalt
Seulawah Agam,Indonesia,Stratovolcano,Eruption Observed,1839 CE,Indonesia,Sumatra,5.448,95.658,1810,Andesite / Basaltic Andesite
Peuet Sague,Indonesia,Complex,Eruption Observed,2000 CE,Indonesia,Sumatra,4.903,96.289,2785,Andesite / Basaltic Andesite
"Telong, Bur ni",Indonesia,Stratovolcano,Eruption Observed,1937 CE,Indonesia,Sumatra,4.769,96.821,2617,Andesite / Basaltic Andesite
Singkut,Indonesia,Caldera(s),Eruption Observed,1881 CE,Indonesia,Sumatra,3.248,98.501,2181,Andesite / Basaltic Andesite
Sinabung,Indonesia,Stratovolcano,Eruption Observed,2019 CE,Indonesia,Sumatra,3.17,98.392,2460,Andesite / Basaltic Andesite
Toba,Indonesia,Caldera,Evidence Credible,Unknown,Indonesia,Sumatra,2.58,98.83,2157,Dacite
Sibualbuali,Indonesia,Stratovolcano,Evidence Uncertain,Unknown,Indonesia,Sumatra,1.556,99.255,1819,Dacite
Lubukraya,Indonesia,Stratovolcano,Evidence Uncertain,Unknown,Indonesia,Sumatra,1.478,99.209,1862,Andesite / Basaltic Andesite
Sorikmarapi,Indonesia,Stratovolcano,Eruption Observed,1986 CE,Indonesia,Sumatra,0.686,99.539,2145,Andesite / Basaltic Andesite
Malintang,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Sumatra,0.47,99.67,1983,Andesite / Basaltic Andesite
Talakmau,Indonesia,Complex,Evidence Credible,Unknown,Indonesia,Sumatra,0.079,99.98,2919,Andesite / Basaltic Andesite
Sarik-Gajah,Indonesia,Pyroclastic cone(s),Evidence Uncertain,Unknown,Indonesia,Sumatra,0.074,100.189,737,Andesite / Basaltic Andesite
Marapi,Indonesia,Complex,Eruption Observed,2018 CE,Indonesia,Sumatra,-0.38,100.474,2885,Andesite / Basaltic Andesite
Tandikat-Singgalang,Indonesia,Stratovolcano(es),Eruption Observed,1924 CE,Indonesia,Sumatra,-0.39,100.331,2854,Andesite / Basaltic Andesite
Talang,Indonesia,Stratovolcano,Eruption Observed,2007 CE,Indonesia,Sumatra,-0.979,100.681,2575,Andesite / Basaltic Andesite
Kerinci,Indonesia,Stratovolcano,Eruption Observed,2020 CE,Indonesia,Sumatra,-1.697,101.264,3800,Andesite / Basaltic Andesite
Sumbing,Indonesia,Stratovolcano,Eruption Observed,1921 CE,Indonesia,Sumatra,-2.414,101.728,2507,Andesite / Basaltic Andesite
Hululais,Indonesia,Compound,Unrest / Holocene,Unknown,Indonesia,Sumatra,-3.247,102.239,2122,Basalt / Picro-Basalt
"Daun, Bukit",Indonesia,Stratovolcano(es),Unrest / Holocene,Unknown,Indonesia,Sumatra,-3.38,102.37,2467,Basalt / Picro-Basalt
Kaba,Indonesia,Stratovolcano,Eruption Observed,2000 CE,Indonesia,Sumatra,-3.522,102.615,1940,Andesite / Basaltic Andesite
Dempo,Indonesia,Stratovolcano(es),Eruption Observed,2017 CE,Indonesia,Sumatra,-4.016,103.121,3142,Andesite / Basaltic Andesite
Patah,Indonesia,Stratovolcano?,Unrest / Holocene,Unknown,Indonesia,Sumatra,-4.257,103.306,2836,No Data (checked)
Ranau,Indonesia,Caldera,Evidence Uncertain,Unknown,Indonesia,Sumatra,-4.871,103.925,1854,Dacite
Sekincau Belirang,Indonesia,Caldera(s),Unrest / Holocene,Unknown,Indonesia,Sumatra,-5.107,104.317,1717,Andesite / Basaltic Andesite
Suoh,Indonesia,Caldera(s),Eruption Observed,1933 CE,Indonesia,Sumatra,-5.25,104.27,1000,No Data (checked)
Hulubelu,Indonesia,Caldera,Unrest / Holocene,Unknown,Indonesia,Sumatra,-5.334,104.59,849,Andesite / Basaltic Andesite
Rajabasa,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,Indonesia,Sumatra,-5.78,105.625,1281,Andesite / Basaltic Andesite
Krakatau,Indonesia,Caldera,Eruption Observed,2020 CE,Indonesia,Krakatau,-6.102,105.423,155,Andesite / Basaltic Andesite
Pulosari,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Java,-6.343,105.978,1324,Andesite / Basaltic Andesite
Karang,Indonesia,Stratovolcano,Evidence Uncertain,Unknown,Indonesia,Java,-6.268,106.05,1768,Andesite / Basaltic Andesite
Perbakti-Gagak,Indonesia,Stratovolcano(es),Eruption Observed,1939 CE,Indonesia,Java,-6.75,106.7,1699,Andesite / Basaltic Andesite
Salak,Indonesia,Stratovolcano,Eruption Observed,1938 CE,Indonesia,Java,-6.72,106.73,2211,Andesite / Basaltic Andesite
Gede-Pangrango,Indonesia,Stratovolcano(es),Eruption Observed,1957 CE,Indonesia,Java,-6.77,106.965,3008,Andesite / Basaltic Andesite
Patuha,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Java,-7.162,107.4,2422,Andesite / Basaltic Andesite
Tangkuban Parahu,Indonesia,Stratovolcano,Eruption Observed,2019 CE,Indonesia,Java,-6.77,107.6,2084,Andesite / Basaltic Andesite
Papandayan,Indonesia,Stratovolcano(es),Eruption Observed,2002 CE,Indonesia,Java,-7.32,107.73,2665,Andesite / Basaltic Andesite
Kendang,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Java,-7.245,107.709,2594,Andesite / Basaltic Andesite
Guntur,Indonesia,Complex,Eruption Observed,1847 CE,Indonesia,Java,-7.143,107.84,2249,Andesite / Basaltic Andesite
Tampomas,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Java,-6.77,107.95,1684,Andesite / Basaltic Andesite
Galunggung,Indonesia,Stratovolcano,Eruption Observed,1984 CE,Indonesia,Java,-7.25,108.058,2168,Basalt / Picro-Basalt
Talagabodas,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,Indonesia,Java,-7.208,108.07,2201,Basalt / Picro-Basalt
Cereme,Indonesia,Stratovolcano,Eruption Observed,1951 CE,Indonesia,Java,-6.895,108.408,3039,Andesite / Basaltic Andesite
Slamet,Indonesia,Stratovolcano,Eruption Observed,2014 CE,Indonesia,Java,-7.242,109.208,3428,Basalt / Picro-Basalt
Dieng Volcanic Complex,Indonesia,Complex,Eruption Observed,2018 CE,Indonesia,Java,-7.2,109.879,2565,Andesite / Basaltic Andesite
Sundoro,Indonesia,Stratovolcano,Eruption Observed,1971 CE,Indonesia,Java,-7.3,109.992,3136,Andesite / Basaltic Andesite
Sumbing,Indonesia,Stratovolcano,Eruption Observed,1730 CE,Indonesia,Java,-7.384,110.07,3371,Andesite / Basaltic Andesite
Ungaran,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Java,-7.18,110.33,2050,Trachyandesite / Basaltic Trachyandesite
Telomoyo,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Java,-7.362,110.4,1864,Andesite / Basaltic Andesite
Merbabu,Indonesia,Stratovolcano,Eruption Observed,1797 CE,Indonesia,Java,-7.454,110.44,3118,Basalt / Picro-Basalt
Merapi,Indonesia,Stratovolcano,Eruption Observed,2020 CE,Indonesia,Java,-7.54,110.446,2910,Andesite / Basaltic Andesite
Muria,Indonesia,Stratovolcano,Eruption Dated,160 BCE,Indonesia,Java,-6.62,110.88,1625,Trachybasalt / Tephrite Basanite
Lawu,Indonesia,Stratovolcano,Eruption Observed,1885 CE,Indonesia,Java,-7.625,111.192,3265,Andesite / Basaltic Andesite
Wilis,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Java,-7.808,111.758,2563,Andesite / Basaltic Andesite
Kelut,Indonesia,Stratovolcano,Eruption Observed,2014 CE,Indonesia,Java,-7.93,112.308,1731,Andesite / Basaltic Andesite
Kawi-Butak,Indonesia,Stratovolcano(es),Evidence Credible,Unknown,Indonesia,Java,-7.92,112.45,2651,No Data (checked)
Arjuno-Welirang,Indonesia,Stratovolcano,Eruption Observed,1952 CE,Indonesia,Java,-7.733,112.575,3339,Andesite / Basaltic Andesite
Penanggungan,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Java,-7.616,112.62,1631,Andesite / Basaltic Andesite
Semeru,Indonesia,Stratovolcano,Eruption Observed,2020 CE,Indonesia,Java,-8.108,112.922,3657,Andesite / Basaltic Andesite
Tengger Caldera,Indonesia,Stratovolcano(es),Eruption Observed,2019 CE,Indonesia,Java,-7.942,112.95,2329,Trachyandesite / Basaltic Trachyandesite
Lamongan,Indonesia,Stratovolcano,Eruption Observed,1898 CE,Indonesia,Java,-7.981,113.341,1641,Basalt / Picro-Basalt
Iyang-Argapura,Indonesia,Complex,Evidence Credible,Unknown,Indonesia,Java,-7.97,113.57,3088,Andesite / Basaltic Andesite
Raung,Indonesia,Stratovolcano,Eruption Observed,2015 CE,Indonesia,Java,-8.119,114.056,3260,Andesite / Basaltic Andesite
Ijen,Indonesia,Stratovolcano(es),Eruption Observed,1999 CE,Indonesia,Java,-8.058,114.242,2769,Andesite / Basaltic Andesite
Baluran,Indonesia,Stratovolcano,Evidence Uncertain,Unknown,Indonesia,Java,-7.85,114.37,1247,Andesite / Basaltic Andesite
Buyan-Bratan,Indonesia,Caldera,Evidence Credible,Unknown,Indonesia,Lesser Sunda Islands,-8.283,115.133,2244,Andesite / Basaltic Andesite
Batur,Indonesia,Caldera,Eruption Observed,2000 CE,Indonesia,Lesser Sunda Islands,-8.242,115.375,1717,Andesite / Basaltic Andesite
Agung,Indonesia,Stratovolcano,Eruption Observed,2019 CE,Indonesia,Lesser Sunda Islands,-8.343,115.508,2997,Andesite / Basaltic Andesite
Rinjani,Indonesia,Stratovolcano,Eruption Observed,2016 CE,Indonesia,Lesser Sunda Islands,-8.42,116.47,3726,Andesite / Basaltic Andesite
Tambora,Indonesia,Stratovolcano,Eruption Observed,1967 CE,Indonesia,Lesser Sunda Islands,-8.25,118,2850,Trachybasalt / Tephrite Basanite
Sangeang Api,Indonesia,Complex,Eruption Observed,2020 CE,Indonesia,Lesser Sunda Islands,-8.2,119.07,1912,Trachybasalt / Tephrite Basanite
"Sano, Wai",Indonesia,Caldera,Evidence Credible,Unknown,Indonesia,Lesser Sunda Islands,-8.724,119.986,1319,Dacite
Ranakah,Indonesia,Lava dome(s),Eruption Observed,1991 CE,Indonesia,Lesser Sunda Islands,-8.62,120.52,2350,Andesite / Basaltic Andesite
Inierie,Indonesia,Stratovolcano,Eruption Dated,8050 BCE,Indonesia,Lesser Sunda Islands,-8.875,120.95,2245,Andesite / Basaltic Andesite
Inielika,Indonesia,Complex,Eruption Observed,2001 CE,Indonesia,Lesser Sunda Islands,-8.73,120.98,1559,Andesite / Basaltic Andesite
Ebulobo,Indonesia,Stratovolcano,Eruption Observed,1969 CE,Indonesia,Lesser Sunda Islands,-8.817,121.191,2096,Andesite / Basaltic Andesite
Iya,Indonesia,Stratovolcano,Eruption Observed,1969 CE,Indonesia,Lesser Sunda Islands,-8.891,121.641,618,Basalt / Picro-Basalt
Kelimutu,Indonesia,Complex,Eruption Observed,1968 CE,Indonesia,Lesser Sunda Islands,-8.77,121.82,1639,Andesite / Basaltic Andesite
Paluweh,Indonesia,Stratovolcano,Eruption Observed,2013 CE,Indonesia,Lesser Sunda Islands,-8.32,121.708,875,Andesite / Basaltic Andesite
Egon,Indonesia,Stratovolcano,Eruption Observed,2008 CE,Indonesia,Lesser Sunda Islands,-8.676,122.455,1661,Andesite / Basaltic Andesite
Ilimuda,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,Indonesia,Lesser Sunda Islands,-8.479,122.761,881,Andesite / Basaltic Andesite
Lewotobi,Indonesia,Stratovolcano(es),Eruption Observed,2003 CE,Indonesia,Lesser Sunda Islands,-8.542,122.775,1703,Andesite / Basaltic Andesite
Leroboleng,Indonesia,Complex,Eruption Observed,2003 CE,Indonesia,Lesser Sunda Islands,-8.365,122.833,1095,Andesite / Basaltic Andesite
Iliboleng,Indonesia,Stratovolcano,Eruption Observed,1993 CE,Indonesia,Lesser Sunda Islands,-8.342,123.258,1659,Basalt / Picro-Basalt
Lewotolo,Indonesia,Stratovolcano,Eruption Observed,2012 CE,Indonesia,Lesser Sunda Islands,-8.272,123.505,1423,Andesite / Basaltic Andesite
Ililabalekan,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,Indonesia,Lesser Sunda Islands,-8.55,123.38,1018,Basalt / Picro-Basalt
Iliwerung,Indonesia,Complex,Eruption Observed,2013 CE,Indonesia,Lesser Sunda Islands,-8.53,123.57,1018,Basalt / Picro-Basalt
"Tara, Batu",Indonesia,Stratovolcano,Eruption Observed,2015 CE,Indonesia,Lesser Sunda Islands,-7.791,123.585,633,Trachybasalt / Tephrite Basanite
Sirung,Indonesia,Complex,Eruption Observed,2015 CE,Indonesia,Lesser Sunda Islands,-8.508,124.13,862,Andesite / Basaltic Andesite
Gunungapi Wetar,Indonesia,Stratovolcano,Eruption Observed,1699 CE,Indonesia,Banda Sea,-6.642,126.65,282,Andesite / Basaltic Andesite
Wurlali,Indonesia,Stratovolcano,Eruption Observed,1892 CE,Indonesia,Banda Sea,-7.125,128.675,868,Andesite / Basaltic Andesite
Teon,Indonesia,Stratovolcano,Eruption Observed,1904 CE,Indonesia,Banda Sea,-6.976,129.144,728,Andesite / Basaltic Andesite
Nila,Indonesia,Stratovolcano,Eruption Observed,1968 CE,Indonesia,Banda Sea,-6.73,129.5,781,Andesite / Basaltic Andesite
Serua,Indonesia,Stratovolcano,Eruption Observed,1921 CE,Indonesia,Banda Sea,-6.312,130.017,608,Andesite / Basaltic Andesite
Manuk,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,Indonesia,Banda Sea,-5.543,130.303,257,Andesite / Basaltic Andesite
Banda Api,Indonesia,Caldera,Eruption Observed,1988 CE,Indonesia,Banda Sea,-4.523,129.881,596,Dacite
Colo,Indonesia,Stratovolcano,Eruption Observed,1983 CE,Indonesia,Sulawesi,-0.162,121.601,404,Trachyandesite / Basaltic Trachyandesite
Ambang,Indonesia,Complex,Eruption Observed,2005 CE,Indonesia,Sulawesi,0.75,124.42,1795,Andesite / Basaltic Andesite
Soputan,Indonesia,Stratovolcano,Eruption Observed,2018 CE,Indonesia,Sulawesi,1.112,124.737,1785,Andesite / Basaltic Andesite
Riendengan-Sempu,Indonesia,Caldera,Unrest / Holocene,Unknown,Indonesia,Sulawesi,1.13,124.758,1549,No Data (checked)
Tondano Caldera,Indonesia,Caldera,Unrest / Holocene,Unknown,Indonesia,Sulawesi,1.23,124.83,1202,Andesite / Basaltic Andesite
Lokon-Empung,Indonesia,Stratovolcano(es),Eruption Observed,2015 CE,Indonesia,Sulawesi,1.358,124.792,1580,Basalt / Picro-Basalt
Mahawu,Indonesia,Stratovolcano,Eruption Observed,1977 CE,Indonesia,Sulawesi,1.352,124.865,1299,Andesite / Basaltic Andesite
Klabat,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,Indonesia,Sulawesi,1.454,125.031,1968,Andesite / Basaltic Andesite
Tangkoko-Duasudara,Indonesia,Stratovolcano,Eruption Observed,1880 CE,Indonesia,Sulawesi,1.518,125.185,1334,Andesite / Basaltic Andesite
Ruang,Indonesia,Stratovolcano,Eruption Observed,2002 CE,Indonesia,Sangihe Islands,2.3,125.37,725,Andesite / Basaltic Andesite
Karangetang,Indonesia,Stratovolcano,Eruption Observed,2020 CE,Indonesia,Sangihe Islands,2.781,125.407,1797,Andesite / Basaltic Andesite
Banua Wuhu,Indonesia,Submarine,Eruption Observed,1919 CE,Indonesia,Sangihe Islands,3.138,125.491,-5,Andesite / Basaltic Andesite
Awu,Indonesia,Stratovolcano,Eruption Observed,2004 CE,Indonesia,Sangihe Islands,3.689,125.447,1318,Andesite / Basaltic Andesite
Tarakan,Indonesia,Pyroclastic cone(s),Evidence Credible,Unknown,Indonesia,Halmahera,1.83,127.83,318,Basalt / Picro-Basalt
Dukono,Indonesia,Complex,Eruption Observed,2020 CE,Indonesia,Halmahera,1.693,127.894,1229,Andesite / Basaltic Andesite
Tobaru,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Halmahera,1.63,127.67,1035,Andesite / Basaltic Andesite
Ibu,Indonesia,Stratovolcano,Eruption Observed,2020 CE,Indonesia,Halmahera,1.488,127.63,1325,Andesite / Basaltic Andesite
Gamkonora,Indonesia,Stratovolcano,Eruption Observed,2007 CE,Indonesia,Halmahera,1.38,127.53,1635,Andesite / Basaltic Andesite
Todoko-Ranu,Indonesia,Caldera(s),Evidence Credible,Unknown,Indonesia,Halmahera,1.25,127.47,979,Andesite / Basaltic Andesite
Jailolo,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Halmahera,1.08,127.439,993,Andesite / Basaltic Andesite
Hiri,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Halmahera,0.9,127.32,630,Basalt / Picro-Basalt
Gamalama,Indonesia,Stratovolcano(es),Eruption Observed,2018 CE,Indonesia,Halmahera,0.8,127.33,1715,Andesite / Basaltic Andesite
Tidore,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Halmahera,0.658,127.4,1730,Andesite / Basaltic Andesite
Mare,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Halmahera,0.57,127.4,308,Andesite / Basaltic Andesite
Moti,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Halmahera,0.454,127.411,927,Andesite / Basaltic Andesite
Makian,Indonesia,Stratovolcano,Eruption Observed,1988 CE,Indonesia,Halmahera,0.32,127.4,1357,Andesite / Basaltic Andesite
Tigalalu,Indonesia,Stratovolcano,Evidence Credible,Unknown,Indonesia,Halmahera,0.07,127.42,422,Andesite / Basaltic Andesite
Amasing,Indonesia,Stratovolcano(es),Evidence Credible,Unknown,Indonesia,Halmahera,-0.53,127.48,1030,Andesite / Basaltic Andesite
Bibinoi,Indonesia,Stratovolcano(es),Evidence Credible,Unknown,Indonesia,Halmahera,-0.761,127.725,932,Andesite / Basaltic Andesite
Balut,Philippines,Stratovolcano,Unrest / Holocene,Unknown,Philippines and SE Asia,Mindanao,5.4,125.375,862,Andesite / Basaltic Andesite
Parker,Philippines,Stratovolcano,Eruption Observed,1641 CE,Philippines and SE Asia,Mindanao,6.113,124.892,1824,Andesite / Basaltic Andesite
Matutum,Philippines,Stratovolcano,Eruption Dated,1290 CE,Philippines and SE Asia,Mindanao,6.37,125.07,2286,Andesite / Basaltic Andesite
Apo,Philippines,Stratovolcano,Unrest / Holocene,Unknown,Philippines and SE Asia,Mindanao,6.989,125.269,2938,Andesite / Basaltic Andesite
Leonard Range,Philippines,Stratovolcano,Eruption Dated,120 CE,Philippines and SE Asia,Mindanao,7.382,126.047,1080,Andesite / Basaltic Andesite
Makaturing,Philippines,Stratovolcano,Eruption Observed,1882 CE,Philippines and SE Asia,Mindanao,7.644,124.317,1818,Basalt / Picro-Basalt
Latukan,Philippines,Stratovolcano,Evidence Uncertain,Unknown,Philippines and SE Asia,Mindanao,7.65,124.45,2338,Basalt / Picro-Basalt
Ragang,Philippines,Stratovolcano,Eruption Observed,1873 CE,Philippines and SE Asia,Mindanao,7.7,124.5,2815,Basalt / Picro-Basalt
Kalatungan,Philippines,Stratovolcano,Evidence Uncertain,Unknown,Philippines and SE Asia,Mindanao,7.95,124.8,2824,Basalt / Picro-Basalt
Musuan,Philippines,Lava dome,Eruption Observed,1886 CE,Philippines and SE Asia,Mindanao,7.877,125.068,646,Andesite / Basaltic Andesite
Malindang,Philippines,Stratovolcano,Evidence Credible,Unknown,Philippines and SE Asia,Mindanao,8.22,123.63,2404,Basalt / Picro-Basalt
Camiguin,Philippines,Stratovolcano(es),Eruption Observed,1953 CE,Philippines and SE Asia,Mindanao,9.203,124.673,1552,Andesite / Basaltic Andesite
Cuernos de Negros,Philippines,Complex,Unrest / Holocene,Unknown,Philippines and SE Asia,Central Philippines,9.25,123.17,1862,Andesite / Basaltic Andesite
Kanlaon,Philippines,Stratovolcano,Eruption Observed,2017 CE,Philippines and SE Asia,Central Philippines,10.412,123.132,2435,Andesite / Basaltic Andesite
Mandalagan,Philippines,Complex,Unrest / Holocene,Unknown,Philippines and SE Asia,Central Philippines,10.65,123.25,1885,Andesite / Basaltic Andesite
Silay,Philippines,Stratovolcano,Unrest / Holocene,Unknown,Philippines and SE Asia,Central Philippines,10.77,123.23,1510,Andesite / Basaltic Andesite
Cabalían,Philippines,Stratovolcano,Eruption Dated,1820 CE,Philippines and SE Asia,Central Philippines,10.285,125.218,912,Andesite / Basaltic Andesite
Mahagnao,Philippines,Stratovolcano,Unrest / Holocene,Unknown,Philippines and SE Asia,Central Philippines,10.882,124.888,860,Andesite / Basaltic Andesite
Biliran,Philippines,Compound,Eruption Observed,1939 CE,Philippines and SE Asia,Central Philippines,11.523,124.535,1301,Andesite / Basaltic Andesite
Bulusan,Philippines,Stratovolcano(es),Eruption Observed,2017 CE,Philippines and SE Asia,Luzon,12.769,124.056,1535,Andesite / Basaltic Andesite
Pocdol Mountains,Philippines,Compound,Unrest / Holocene,Unknown,Philippines and SE Asia,Luzon,13.05,123.958,1102,Andesite / Basaltic Andesite
Mayon,Philippines,Stratovolcano,Eruption Observed,2019 CE,Philippines and SE Asia,Luzon,13.257,123.685,2462,Andesite / Basaltic Andesite
Masaraga,Philippines,Stratovolcano,Evidence Credible,Unknown,Philippines and SE Asia,Luzon,13.32,123.6,1328,Andesite / Basaltic Andesite
Iriga,Philippines,Stratovolcano,Evidence Credible,Unknown,Philippines and SE Asia,Luzon,13.458,123.451,1138,Andesite / Basaltic Andesite
Isarog,Philippines,Stratovolcano,Eruption Dated,3500 BCE,Philippines and SE Asia,Luzon,13.658,123.38,1966,Andesite / Basaltic Andesite
Malindig,Philippines,Stratovolcano,Evidence Credible,Unknown,Philippines and SE Asia,Luzon,13.24,122.018,1157,Andesite / Basaltic Andesite
Banahaw,Philippines,Complex,Evidence Credible,Unknown,Philippines and SE Asia,Luzon,14.07,121.48,2158,Andesite / Basaltic Andesite
San Pablo Volcanic Field,Philippines,Stratovolcano,Eruption Dated,1350 CE,Philippines and SE Asia,Luzon,14.12,121.3,1090,Trachyandesite / Basaltic Trachyandesite
Taal,Philippines,Caldera,Eruption Observed,2020 CE,Philippines and SE Asia,Luzon,14.002,120.993,311,Andesite / Basaltic Andesite
Laguna Caldera,Philippines,Caldera,Unrest / Holocene,Unknown,Philippines and SE Asia,Luzon,14.42,121.27,743,Andesite / Basaltic Andesite
Mariveles,Philippines,Stratovolcano,Eruption Dated,2050 BCE,Philippines and SE Asia,Luzon,14.527,120.482,1388,Andesite / Basaltic Andesite
Natib,Philippines,Stratovolcano,Evidence Uncertain,Unknown,Philippines and SE Asia,Luzon,14.72,120.4,1253,Andesite / Basaltic Andesite
Pinatubo,Philippines,Stratovolcano,Eruption Observed,1993 CE,Philippines and SE Asia,Luzon,15.13,120.35,1486,Dacite
Arayat,Philippines,Stratovolcano,Evidence Uncertain,Unknown,Philippines and SE Asia,Luzon,15.2,120.742,1026,Basalt / Picro-Basalt
Patoc,Philippines,Stratovolcano,Unrest / Holocene,Unknown,Philippines and SE Asia,Luzon,17.147,120.98,1865,Andesite / Basaltic Andesite
Ambalatungan Group,Philippines,Compound,Unrest / Holocene,Unknown,Philippines and SE Asia,Luzon,17.32,121.1,2329,Dacite
Cagua,Philippines,Stratovolcano,Eruption Observed,1860 CE,Philippines and SE Asia,Luzon,18.222,122.123,1133,Andesite / Basaltic Andesite
Camiguin de Babuyanes,Philippines,Stratovolcano,Eruption Observed,1857 CE,Philippines and SE Asia,North of Luzon,18.83,121.86,712,Andesite / Basaltic Andesite
Didicas,Philippines,Compound,Eruption Observed,1978 CE,Philippines and SE Asia,North of Luzon,19.077,122.202,228,Andesite / Basaltic Andesite
Babuyan Claro,Philippines,Stratovolcano(es),Eruption Observed,1924 CE,Philippines and SE Asia,North of Luzon,19.523,121.94,1080,Andesite / Basaltic Andesite
Unnamed,Philippines,Submarine,Eruption Observed,1854 CE,Philippines and SE Asia,North of Luzon,20.33,121.75,-24,No Data (checked)
Iraya,Philippines,Stratovolcano,Eruption Observed,1454 CE,Philippines and SE Asia,North of Luzon,20.469,122.01,1009,Andesite / Basaltic Andesite
Hainan Volcanic Field,China,Pyroclastic cone(s),Eruption Observed,1933 CE,Philippines and SE Asia,Southeast Asia,19.905,110.229,196,Basalt / Picro-Basalt
Ly Son Group,Vietnam,Volcanic field,Evidence Credible,Unknown,Philippines and SE Asia,Southeast Asia,15.38,109.12,157,Basalt / Picro-Basalt
Toroeng Prong,Vietnam,Pyroclastic cone,Evidence Uncertain,Unknown,Philippines and SE Asia,Southeast Asia,14.93,108,800,Basalt / Picro-Basalt
Haut Dong Nai,Vietnam,Volcanic field,Evidence Uncertain,Unknown,Philippines and SE Asia,Southeast Asia,11.6,108.2,1000,Basalt / Picro-Basalt
Bas Dong Nai,Vietnam,Volcanic field,Evidence Uncertain,Unknown,Philippines and SE Asia,Southeast Asia,10.8,107.2,392,Basalt / Picro-Basalt
"Cendres, Ile des",Vietnam,Submarine,Eruption Observed,1923 CE,Philippines and SE Asia,Southeast Asia,10.158,109.014,-20,Basalt / Picro-Basalt
Veteran,Vietnam,Submarine,Unrest / Holocene,Unknown,Philippines and SE Asia,Southeast Asia,9.83,109.05,-50,No Data (checked)
Popa,Burma (Myanmar),Stratovolcano,Eruption Dated,442 BCE,Philippines and SE Asia,Southeast Asia,20.92,95.25,1518,Basalt / Picro-Basalt
Singu Plateau,Burma (Myanmar),Fissure vent(s),Evidence Credible,Unknown,Philippines and SE Asia,Southeast Asia,22.7,95.98,507,Trachyandesite / Basaltic Trachyandesite
Tengchong,China,Pyroclastic cone(s),Eruption Dated,5750 BCE,Philippines and SE Asia,Southeast Asia,25.23,98.5,2865,Basalt / Picro-Basalt
